S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
7.0,40.0,28.333333333333332,3.0,0.0,8.0,0.0,10.0,6.0,0.0,6.0,13.0,29.0,1.3333333333333333,10.833333333333334,464.9336734693877,9.5,5.333333333333333,14.416666666666666,1.3333333333333333
7.3,39.4,27.0,3.0,0.0,7.8,0.0,9.0,5.7,0.0,10.0,16.3,26.4,1.5,10.957142857142857,519.8295918367346,13.15,4.8999999999999995,13.862499999999999,1.5
7.6,38.8,25.666666666666664,3.0,0.0,7.6,0.0,8.0,5.4,0.0,14.0,19.6,23.8,1.6666666666666665,11.08095238095238,574.7255102040816,16.8,4.466666666666667,13.308333333333334,1.6666666666666665
7.9,38.2,24.333333333333332,3.0,0.0,7.4,0.0,7.0,5.1,0.0,18.0,22.9,21.2,1.8333333333333333,11.204761904761906,629.6214285714286,20.45,4.033333333333333,12.754166666666666,1.8333333333333333
8.2,37.6,23.0,3.0,0.0,7.2,0.0,6.0,4.8,0.0,22.0,26.2,18.6,2.0,11.32857142857143,684.5173469387755,24.1,3.5999999999999996,12.2,2.0
8.5,37.0,21.666666666666664,3.0,0.0,7.0,0.0,5.0,4.5,0.0,26.0,29.5,16.0,2.166666666666667,11.452380952380953,739.4132653061224,27.75,3.1666666666666665,11.645833333333332,2.166666666666667
8.8,36.4,20.333333333333332,3.0,0.0,6.8,0.0,4.0,4.2,0.0,30.0,32.8,13.399999999999999,2.333333333333333,11.576190476190476,794.3091836734694,31.4,2.7333333333333334,11.091666666666667,2.333333333333333
9.1,35.8,19.0,3.0,0.0,6.6,0.0,3.0,3.9,0.0,34.0,36.099999999999994,10.8,2.5,11.7,849.2051020408164,35.05,2.3,10.5375,2.5
9.4,35.2,17.666666666666664,3.0,0.0,6.4,0.0,2.0,3.6,0.0,38.0,39.4,8.2,2.666666666666667,11.823809523809524,904.1010204081633,38.7,1.8666666666666667,9.983333333333334,2.666666666666667
9.7,34.6,16.333333333333332,3.0,0.0,6.2,0.0,1.0,3.3000000000000003,0.0,42.0,42.7,5.599999999999998,2.8333333333333335,11.947619047619048,958.9969387755102,42.35,1.4333333333333336,9.429166666666667,2.8333333333333335
10.0,34.0,15.0,3.0,0.0,6.0,0.0,0.0,3.0,0.0,46.0,46.0,3.0,3.0,12.071428571428571,1013.8928571428572,46.0,1.0,8.875,3.0
12.9,31.6,14.233333333333333,3.0,0.4333333333333333,5.7,0.0,0.0,2.7,0.9,44.0,46.7,2.7,2.8333333333333335,11.978571428571428,980.949149659864,45.35,1.2,8.820833333333333,2.8333333333333335
15.8,29.2,13.466666666666667,3.0,0.8666666666666666,5.4,0.0,0.0,2.4,1.8,42.0,47.4,2.4,2.6666666666666665,11.885714285714286,948.0054421768708,44.7,1.4,8.766666666666667,2.6666666666666665
18.7,26.8,12.7,3.0,1.2999999999999998,5.1,0.0,0.0,2.1,2.7,40.0,48.1,2.1,2.5,11.792857142857143,915.0617346938776,44.05,1.6,8.7125,2.5
21.6,24.4,11.933333333333334,3.0,1.7333333333333332,4.8,0.0,0.0,1.8,3.6,38.0,48.8,1.8,2.333333333333333,11.700000000000001,882.1180272108844,43.4,1.8,8.658333333333333,2.333333333333333
24.5,22.0,11.166666666666666,3.0,2.1666666666666665,4.5,0.0,0.0,1.5,4.5,36.0,49.5,1.5,2.1666666666666665,11.607142857142858,849.1743197278912,42.75,2.0,8.604166666666668,2.1666666666666665
27.4,19.6,10.399999999999999,3.0,2.5999999999999996,4.2,0.0,0.0,1.2000000000000002,5.4,34.0,50.2,1.2000000000000002,2.0,11.514285714285714,816.230612244898,42.1,2.2,8.55,2.0
30.3,17.2,9.633333333333333,3.0,3.033333333333333,3.9,0.0,0.0,0.8999999999999999,6.3,32.0,50.9,0.8999999999999999,1.8333333333333333,11.421428571428573,783.2869047619048,41.45,2.4000000000000004,8.495833333333334,1.8333333333333333
33.2,14.8,8.866666666666667,3.0,3.4666666666666663,3.6,0.0,0.0,0.6000000000000001,7.2,30.0,51.6,0.6000000000000001,1.6666666666666665,11.32857142857143,750.3431972789116,40.8,2.6,8.441666666666666,1.6666666666666665
36.099999999999994,12.400000000000002,8.1,3.0,3.8999999999999995,3.3000000000000003,0.0,0.0,0.30000000000000027,8.1,28.0,52.3,0.30000000000000027,1.4999999999999998,11.235714285714288,717.3994897959184,40.15,2.8,8.387500000000001,1.4999999999999998
39.0,10.0,7.333333333333333,3.0,4.333333333333333,3.0,0.0,0.0,0.0,9.0,26.0,53.0,0.0,1.3333333333333333,11.142857142857144,684.4557823129252,39.5,3.0,8.333333333333334,1.3333333333333333
35.1,10.0,6.6,3.0,4.199999999999999,3.0,0.0,0.0,0.3,8.7,25.9,50.8,0.0,1.2,10.62857142857143,635.7030612244898,38.35,3.0,7.737500000000001,1.2
31.2,10.0,5.866666666666666,3.0,4.066666666666666,3.0,0.0,0.0,0.6,8.4,25.8,48.6,0.0,1.0666666666666667,10.114285714285716,586.9503401360545,37.2,3.0,7.1416666666666675,1.0666666666666667
27.3,10.0,5.133333333333333,3.0,3.933333333333333,3.0,0.0,0.0,0.8999999999999999,8.1,25.7,46.4,0.0,0.9333333333333332,9.600000000000001,538.1976190476191,36.05,3.0,6.545833333333333,0.9333333333333332
23.4,10.0,4.4,3.0,3.8,3.0,0.0,0.0,1.2,7.8,25.6,44.2,0.0,0.7999999999999999,9.085714285714285,489.44489795918366,34.9,3.0,5.95,0.7999999999999999
19.5,10.0,3.6666666666666665,3.0,3.6666666666666665,3.0,0.0,0.0,1.5,7.5,25.5,42.0,0.0,0.6666666666666666,8.571428571428573,440.6921768707483,33.75,3.0,5.354166666666667,0.6666666666666666
15.600000000000001,10.0,2.9333333333333336,3.0,3.533333333333333,3.0,0.0,0.0,1.7999999999999998,7.2,25.4,39.8,0.0,0.5333333333333332,8.057142857142857,391.93945578231296,32.6,3.0,4.758333333333333,0.5333333333333332
11.7,10.0,2.2,3.0,3.4,3.0,0.0,0.0,2.1,6.9,25.3,37.599999999999994,0.0,0.3999999999999999,7.542857142857143,343.18673469387755,31.450000000000003,3.0,4.1625,0.3999999999999999
