S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
0,0,0,9,0,9,0,0,0,0,60,30,0,4,8.307692307692308,289.5976331360947,45.0,0.0,2.25,4.0
0,0,0,4,4,0,0,9,0,9,0,0,9,0,2.6923076923076925,13.905325443786984,0.0,6.0,2.125,0.0
0,0,13,0,30,0,0,9,45,0,0,0,18,0,8.846153846153847,190.8994082840237,0.0,18.0,7.625,0.0
9,0,0,0,0,0,0,0,45,0,0,0,9,0,4.846153846153846,144.7455621301775,0.0,15.0,2.25,0.0
9,0,0,0,0,0,0,0,0,0,0,9,0,0,1.3846153846153846,10.54437869822485,4.5,0.0,1.125,0.0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6923076923076923,5.751479289940834,0.0,0.0,1.125,0.0
0,0,0,0,0,0,0,9,0,0,0,5508,0,4,424.38461538461536,2153601.1597633124,2754.0,3.0,0.0,4.0
0,0,0,0,0,0,0,9,0,0,9,19332,0,9,1488.4615384615386,26532665.78698223,9670.5,3.0,0.0,9.0
0,0,0,0,0,0,0,42,0,0,15471,15267,0,4,2367.6923076923076,30735178.828402355,15369.0,14.0,0.0,4.0
0,0,0,0,0,0,0,180,0,0,61236,7851,0,0,5328.2307692307695,264803672.02366868,34543.5,60.0,0.0,0.0
0,0,0,9,0,0,0,0,9,3867,24024,9165,0,0,2851.846153846154,43874946.74556212,16594.5,1292.0,1.125,0.0
0,0,0,9,0,9,0,0,126,3351,11436,4953,0,0,1529.5384615384614,10472784.710059172,8194.5,1159.0,2.25,0.0
9,0,0,103,0,54,0,0,237,1386,8745,3513,0,4,1080.5384615384614,5817587.786982249,6129.0,541.0,20.75,4.0
18,0,0,426,15,120,0,123,225,1026,6366,273,9,9,661.6153846153846,2786528.236686391,3319.5,458.0,73.5,9.0
39,0,9,366,60,66,0,114,219,195,2994,69,0,4,317.7692307692308,607583.7159763313,1531.5,176.0,67.5,4.0
30,9,27,147,60,66,0,60,279,315,1665,270,9,0,225.92307692307693,184123.9171597633,967.5,218.0,43.5,0.0
30,9,18,90,21,109,0,108,195,516,660,291,9,4,158.15384615384616,40989.97633136095,475.5,273.0,35.75,4.0
49,21,0,90,21,111,0,51,183,285,396,156,105,9,112.92307692307692,12878.840236686392,276.0,173.0,49.625,9.0
69,21,9,76,21,9,0,165,105,222,249,144,18,4,85.23076923076923,6749.254437869822,196.5,164.0,27.875,4.0
18,15,9,63,19,0,0,72,171,159,132,81,75,0,62.61538461538461,3331.3136094674564,106.5,134.0,24.875,0.0
9,0,42,27,9,18,0,36,141,39,195,117,51,0,52.61538461538461,3384.8520710059174,156.0,72.0,19.5,0.0
27,0,75,36,9,18,0,18,60,48,156,42,39,0,40.61538461538461,1573.775147928994,99.0,42.0,25.5,0.0
27,0,9,27,0,9,0,39,57,81,45,63,21,10,29.076923076923077,645.7633136094674,54.0,59.0,11.625,10.0
18,0,0,27,0,0,0,72,39,18,27,57,21,21,21.46153846153846,501.0177514792897,42.0,43.0,8.25,21.0
18,0,18,18,0,0,0,63,0,42,18,18,114,10,23.76923076923077,1000.3313609467456,18.0,35.0,21.0,10.0
81,0,18,36,4,0,0,39,9,30,18,93,195,0,40.23076923076923,2819.715976331361,55.5,26.0,41.75,0.0
72,0,9,54,0,27,0,9,27,9,18,93,54,10,28.615384615384617,849.6213017751479,55.5,15.0,27.0,10.0
9,0,0,27,0,27,0,9,27,18,57,39,42,21,19.615384615384617,323.4674556213018,48.0,18.0,13.125,21.0
9,0,0,27,9,22,0,30,9,48,18,48,78,10,22.923076923076923,503.14792899408286,33.0,29.0,18.125,10.0
4,66,0,18,9,105,0,21,0,39,9,42,45,0,27.53846153846154,905.7869822485206,25.5,20.0,30.875,0.0
9,66,0,9,9,9,0,0,9,174,0,54,0,0,26.076923076923077,2239.4556213017754,27.0,61.0,12.75,0.0
51,43,0,9,4,0,0,21,0,165,18,42,0,0,27.153846153846153,1901.2071005917155,30.0,62.0,13.375,0.0
0,0,4,0,0,0,0,21,9,0,75,18,0,0,9.76923076923077,403.562130177515,46.5,10.0,0.5,0.0
9,0,45,0,9,0,0,0,0,0,39,18,9,0,9.923076923076923,217.9171597633136,28.5,0.0,9.0,0.0
9,0,45,0,9,0,0,0,0,0,0,69,63,4,15.0,614.7692307692308,34.5,0.0,15.75,4.0
4,0,180,0,0,0,0,0,0,33,0,60,33,9,23.846153846153847,2369.360946745563,30.0,11.0,27.125,9.0
