S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
0,13,27,0,48,75,0,0,0,21,0,0,0,24,14.153846153846153,512.5917159763314,0.0,7.0,20.375,24.0
0,27,27,0,48,42,0,33,0,0,0,9,0,48,14.307692307692308,310.36686390532543,4.5,11.0,18.0,48.0
0,9,9,0,28,0,0,0,18,9,0,9,111,24,14.846153846153847,837.5147928994083,4.5,9.0,19.625,24.0
9,18,9,4,9,0,0,0,18,9,0,27,111,0,16.46153846153846,808.8639053254439,13.5,9.0,20.0,0.0
9,18,22,0,21,0,0,33,0,0,0,18,0,0,9.307692307692308,124.36686390532546,9.0,11.0,8.75,0.0
21,18,0,18,51,9,0,54,9,9,9,18,0,0,16.615384615384617,281.9289940828403,13.5,24.0,14.625,0.0
30,9,18,9,96,9,0,21,9,9,9,18,9,4,18.923076923076923,547.4556213017753,13.5,13.0,22.5,4.0
30,0,9,9,96,9,0,0,0,210,60,0,9,9,33.23076923076923,3368.0236686390535,30.0,70.0,20.25,9.0
25,0,0,9,78,27,0,270,9,777,585,42,0,108,140.15384615384616,59450.59171597634,313.5,352.0,17.375,108.0
42,0,0,4,39,201,0,5289,9,600,429,42,63,207,516.7692307692307,1930417.100591716,235.5,1966.0,43.625,207.0
30,9,4,0,27,237,0,2067,0,483,1176,327,342,508,361.6923076923077,343835.75147928996,751.5,850.0,81.125,508.0
18,9,9,66,93,99,0,6036,0,189,792,576,453,810,641.5384615384615,2485086.710059171,684.0,2075.0,93.375,810.0
9,9,0,18,159,99,0,6921,9,330,702,2547,324,868,855.9230769230769,3508147.9171597622,1624.5,2420.0,77.25,868.0
9,9,36,45,159,324,0,3600,18,582,489,1341,303,927,531.9230769230769,914134.6863905325,915.0,1400.0,110.625,927.0
4,21,36,45,133,432,0,3585,39,810,885,1431,282,747,592.5384615384615,928009.4792899408,1158.0,1478.0,119.125,747.0
0,51,36,40,180,507,0,8331,21,381,1485,330,393,567,904.2307692307693,4745034.639053255,907.5,2911.0,150.875,567.0
9,18,27,36,264,594,0,3246,54,267,150,93,552,694,408.46153846153845,707892.7100591715,121.5,1189.0,187.5,694.0
18,18,0,120,357,408,0,369,63,84,93,102,576,822,169.84615384615384,33227.36094674557,97.5,172.0,187.125,822.0
9,63,0,138,495,408,0,75,0,123,57,90,507,576,151.15384615384616,32824.43786982248,73.5,66.0,202.5,576.0
9,75,9,81,495,442,0,9,0,210,36,81,477,330,148.0,34427.07692307692,58.5,73.0,198.5,330.0
15,30,111,81,382,321,0,33,0,63,57,51,285,249,109.92307692307692,15694.224852071007,54.0,32.0,153.125,249.0
21,9,111,76,123,210,0,51,9,54,48,102,453,168,97.46153846153847,13683.017751479292,75.0,38.0,125.375,168.0
72,30,64,108,105,207,0,27,18,48,48,84,216,132,79.0,4150.615384615385,66.0,31.0,100.25,132.0
51,30,45,81,105,162,0,0,18,69,36,36,93,96,55.84615384615385,1933.6686390532545,36.0,29.0,70.875,96.0
69,49,36,90,90,162,0,0,30,81,36,27,102,117,59.38461538461539,1919.0059171597634,31.5,37.0,74.75,117.0
69,60,18,27,90,217,0,9,27,51,18,18,117,138,55.46153846153846,3258.710059171598,18.0,29.0,74.75,138.0
69,30,18,27,159,174,0,0,9,30,39,9,297,88,66.23076923076923,7387.562130177516,24.0,13.0,96.75,88.0
39,54,18,36,51,147,0,21,18,0,9,9,207,39,46.84615384615385,3501.0532544378702,9.0,13.0,69.0,39.0
57,30,31,9,84,63,0,0,27,0,9,0,126,30,33.53846153846154,1406.094674556213,4.5,9.0,50.0,30.0
36,30,36,45,84,63,0,9,9,9,18,39,102,21,36.92307692307692,870.0710059171597,28.5,9.0,49.5,21.0
39,31,18,36,30,63,0,9,0,21,27,30,72,24,28.923076923076923,417.7633136094675,28.5,10.0,36.125,24.0
39,0,0,27,30,118,0,9,0,0,27,33,48,27,25.46153846153846,988.4023668639054,30.0,3.0,32.75,27.0
40,33,9,27,39,192,0,9,27,0,27,63,174,40,49.23076923076923,3550.7928994082845,45.0,12.0,64.25,40.0
42,42,9,13,93,9,0,18,27,69,9,84,153,54,43.69230769230769,1850.0591715976332,46.5,38.0,45.125,54.0
72,9,13,36,54,36,0,9,0,69,0,72,27,31,30.53846153846154,736.4023668639053,36.0,26.0,30.875,31.0
9,9,0,27,51,27,0,18,0,0,0,0,60,9,15.461538461538462,387.47928994082844,0.0,6.0,22.875,9.0
