S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
0,0,0,9,9,0,0,0,9,9,9,162,9,79,21.071428571428573,1911.0663265306125,85.5,6.0,3.375,79.0
0,0,0,9,0,0,0,0,21,9,9,75,0,0,8.785714285714286,373.45408163265313,42.0,10.0,1.125,0.0
0,39,0,13,0,0,0,0,0,9,0,0,21,4,6.142857142857143,121.40816326530619,0.0,3.0,9.125,4.0
9,0,0,0,0,0,0,0,0,0,0,33,21,9,5.142857142857143,94.40816326530611,16.5,0.0,3.75,9.0
9,0,0,0,16,0,0,9,0,0,0,0,0,4,2.7142857142857144,23.63265306122448,0.0,3.0,3.125,4.0
0,0,0,0,33,0,0,9,0,0,0,0,0,0,3.0,74.57142857142857,0.0,3.0,4.125,0.0
0,0,0,0,0,0,0,0,9,0,69,441,0,0,37.07142857142857,12863.066326530612,255.0,3.0,0.0,0.0
0,0,0,0,0,0,0,57,0,0,51900,2661,0,0,3901.285714285714,177686696.2040816,27280.5,19.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,22742,174,0,0,1636.857142857143,34265615.83673469,11458.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,78,58401,306,0,0,4198.928571428572,225995893.2091837,29353.5,26.0,0.0,0.0
9,9,0,0,0,0,0,0,0,378,19416,1404,0,0,1515.4285714285713,24781713.244897954,10410.0,126.0,2.25,0.0
9,9,0,0,0,0,0,0,9,3123,5253,120,0,0,608.7857142857143,2298078.596938776,2686.5,1044.0,2.25,0.0
21,0,0,27,78,0,0,0,189,3069,8682,87,0,0,868.0714285714286,5306911.209183672,4384.5,1086.0,15.75,0.0
21,0,0,27,99,0,0,0,1038,390,24759,5097,0,0,2245.0714285714284,40690226.06632653,14928.0,476.0,18.375,0.0
30,0,0,48,39,0,0,0,690,5382,5967,1806,0,0,997.2857142857143,3884955.0612244904,3886.5,2024.0,14.625,0.0
246,0,18,69,39,0,0,0,1026,3615,1824,2232,0,0,647.7857142857143,1187289.5969387754,2028.0,1547.0,46.5,0.0
411,0,9,54,33,0,0,21,1074,3117,771,2436,0,0,566.1428571428571,934564.4081632653,1603.5,1404.0,63.375,0.0
327,0,18,54,27,0,0,21,1434,786,735,1143,0,0,324.64285714285717,225475.94387755095,939.0,747.0,53.25,0.0
150,18,9,96,51,4,0,9,870,468,336,774,9,0,199.57142857142858,83228.10204081632,555.0,449.0,42.125,0.0
150,18,0,138,60,9,0,9,606,207,45,531,18,0,127.92857142857143,36493.20918367346,288.0,274.0,49.125,0.0
162,13,0,129,9,9,0,51,135,156,45,342,9,21,77.21428571428571,8887.16836734694,193.5,114.0,41.375,21.0
69,9,0,120,9,9,0,66,36,57,84,267,0,42,54.857142857142854,4734.551020408162,175.5,53.0,27.0,42.0
93,138,18,69,9,0,0,111,63,114,45,156,0,25,60.07142857142857,2757.9234693877547,100.5,96.0,40.875,25.0
21,117,9,45,99,0,0,63,39,75,78,231,45,9,59.357142857142854,3526.9438775510207,154.5,59.0,42.0,9.0
60,18,0,54,117,0,0,9,30,87,30,258,0,9,48.0,4597.714285714285,144.0,42.0,31.125,9.0
60,18,0,27,18,66,0,9,21,117,0,195,0,9,38.57142857142857,2915.816326530612,97.5,49.0,23.625,9.0
73,22,0,36,0,75,0,18,21,51,0,84,0,9,27.785714285714285,887.7397959183672,42.0,30.0,25.75,9.0
60,27,0,36,0,9,0,0,0,9,0,171,9,9,23.571428571428573,1957.9591836734696,85.5,3.0,17.625,9.0
30,9,0,36,0,36,0,30,9,9,0,51,18,9,16.928571428571427,259.20918367346934,25.5,16.0,16.125,9.0
30,0,0,18,18,36,0,30,18,21,0,9,9,4,13.785714285714286,144.73979591836735,4.5,23.0,13.875,4.0
0,0,0,27,18,18,0,0,9,30,0,30,0,0,9.428571428571429,143.81632653061223,15.0,13.0,7.875,0.0
0,0,0,27,0,0,0,0,39,9,0,30,0,0,7.5,174.53571428571428,15.0,16.0,3.375,0.0
4,4,0,27,69,0,0,0,30,9,9,9,0,0,11.5,343.82142857142856,9.0,13.0,13.0,0.0
9,0,0,27,69,0,0,0,0,9,9,21,21,0,11.785714285714286,333.5969387755101,15.0,3.0,15.75,0.0
39,0,0,13,34,0,0,33,0,0,0,0,0,0,8.5,208.82142857142856,0.0,11.0,10.75,0.0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,2.142857142857143,59.693877551020385,0.0,0.0,3.75,0.0
