S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
0,0,0,0,0,4,0,0,0,0,501,0,0,0,36.07142857142857,16628.637755102038,250.5,0.0,0.5,0.0
0,0,0,0,0,0,0,0,0,0,510,0,0,0,36.42857142857143,17251.530612244896,255.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,444,0,0,0,31.714285714285715,13075.346938775507,222.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,435,0,0,21,32.57142857142857,12486.673469387755,217.5,0.0,0.0,21.0
0,0,0,0,0,0,0,0,0,0,375,0,0,10,27.5,9295.535714285714,187.5,0.0,0.0,10.0
0,0,0,0,0,0,0,0,0,0,453,0,0,0,32.357142857142854,13610.801020408162,226.5,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,576,0,0,0,41.142857142857146,22005.55102040817,288.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,4308,0,0,0,307.7142857142857,1230945.0612244892,2154.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,2736,3339,0,0,433.92857142857144,1142750.0663265304,3037.5,0.0,0.0,0.0
0,0,0,0,0,0,0,9,0,0,4851,7023,0,0,848.7857142857143,4483477.882653061,5937.0,3.0,0.0,0.0
0,0,0,0,0,0,0,30,9,0,1440,5205,0,0,477.42857142857144,1855390.9591836731,3322.5,13.0,0.0,0.0
0,0,0,28,0,0,0,0,165,0,6234,3873,0,0,735.7142857142857,3308074.0612244904,5053.5,55.0,3.5,0.0
9,0,0,18,0,0,0,0,597,0,27138,6111,0,0,2419.5,49444032.53571428,16624.5,199.0,3.375,0.0
9,0,0,18,0,0,0,0,534,0,6414,5343,0,0,879.8571428571429,4223894.693877551,5878.5,178.0,3.375,0.0
9,0,0,13,0,27,0,21,1494,0,540,4539,0,0,474.5,1426819.5357142857,2539.5,505.0,6.125,0.0
156,0,0,141,0,102,0,120,1170,9,207,1044,0,0,210.64285714285714,139257.22959183672,625.5,433.0,49.875,0.0
30,0,9,150,21,57,0,21,930,9,99,975,0,13,165.28571428571428,105051.20408163266,537.0,320.0,33.375,13.0
18,33,18,108,33,57,0,42,642,18,147,354,0,27,106.92857142857143,29969.49489795918,250.5,234.0,33.375,27.0
48,129,18,102,9,51,0,51,594,60,57,159,9,18,93.21428571428571,21334.454081632648,108.0,235.0,45.75,18.0
48,129,18,102,18,18,0,9,255,39,9,117,9,9,55.714285714285715,4815.918367346939,63.0,101.0,42.75,9.0
105,69,9,73,294,0,0,33,279,63,9,72,9,4,72.78571428571429,8694.596938775509,40.5,125.0,69.875,4.0
135,18,9,18,294,0,0,51,282,9,0,105,9,0,66.42857142857143,9780.24489795918,52.5,114.0,60.375,0.0
39,18,18,27,196,0,0,9,42,0,9,84,18,0,32.857142857142854,2536.1224489795914,46.5,17.0,39.5,0.0
48,9,27,45,18,0,0,0,18,21,9,123,0,0,22.714285714285715,1015.34693877551,66.0,13.0,18.375,0.0
39,18,18,36,0,4,0,0,9,21,0,99,9,10,18.785714285714285,646.0255102040816,49.5,10.0,15.5,10.0
39,18,18,36,57,0,0,57,18,21,9,27,0,21,22.928571428571427,329.923469387755,18.0,32.0,21.0,21.0
28,45,13,27,45,48,0,57,18,9,0,48,0,10,24.857142857142858,388.8367346938774,24.0,28.0,25.75,10.0
9,0,0,0,45,48,0,9,0,18,0,60,21,0,15.0,407.57142857142856,30.0,9.0,15.375,0.0
39,0,0,0,22,0,0,42,0,105,0,84,21,0,22.357142857142858,1092.3724489795916,42.0,49.0,10.25,0.0
60,0,9,0,0,0,0,51,0,105,0,51,0,0,19.714285714285715,1033.3469387755101,25.5,52.0,8.625,0.0
21,0,9,0,0,28,0,18,0,0,0,42,0,0,8.428571428571429,171.38775510204079,21.0,6.0,7.25,0.0
21,0,9,0,0,57,0,9,9,0,0,18,0,0,8.785714285714286,226.8826530612244,9.0,6.0,10.875,0.0
15,4,4,13,0,0,0,0,9,9,0,9,0,0,4.5,27.535714285714285,4.5,6.0,4.5,0.0
0,18,0,18,0,0,0,9,0,9,0,153,66,0,19.5,1660.8214285714284,76.5,6.0,12.75,0.0
0,0,0,9,4,0,0,27,21,0,0,0,66,79,14.714285714285714,630.9183673469388,0.0,16.0,9.875,79.0
0,0,0,0,18,0,0,18,0,0,0,87,9,159,20.785714285714285,1966.454081632653,43.5,6.0,3.375,159.0
