Beta-16
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
     0/0/0,     0:0:0,  4.031250,    0,       0.000000,       0.000000,       288,        88,        15,         0,         0,         0,         1,         1,         1,         1,         1,         1, 21.389999,24.889648,102432.328125,-91.786682
     0/0/0,     0:0:0,  4.031250,    0,       0.000000,       0.000000,       276,        85,        21,         0,         0,         0,         1,         2,         2,         1,         2,         2, 21.400000,24.733398,102429.289062,-91.536476
     0/0/0,     0:0:0,  4.031250,    0,       0.000000,       0.000000,       369,       107,         9,         0,         0,         0,         1,         2,         2,         1,         2,         2, 21.410000,24.638672,102427.875000,-91.420837
     0/0/0,     0:0:0,  4.027500,    0,       0.000000,       0.000000,       747,       211,        22,         0,         0,         0,         3,         4,         4,         3,         4,         4, 21.430000,26.699219,102431.187500,-91.692986
     0/0/0,     0:0:0,  4.018750,    0,       0.000000,       0.000000,      1176,       285,        15,         0,         0,         0,         3,         4,         4,         3,         4,         4, 21.450001,25.712891,102432.218750,-91.777718
     0/0/0,     0:0:0,  4.020000,    0,       0.000000,       0.000000,      1164,       255,        15,         0,         0,         0,         6,         6,         6,         6,         6,         6, 21.469999,24.773438,102431.250000,-91.697968
     0/0/0,     0:0:0,  4.021250,    0,       0.000000,       0.000000,      1068,       251,        12,         0,         0,         0,         3,         4,         4,         3,         4,         4, 21.490000,26.088867,102429.234375,-91.532486
     0/0/0,     0:0:0,  4.020000,    0,       0.000000,       0.000000,       525,       151,         9,         0,         0,         0,         2,         2,         2,         2,         2,         2, 21.510000,24.545898,102425.578125,-91.401901
     0/0/0,     0:0:0,  4.027500,    0,       0.000000,       0.000000,      1002,       218,        15,         0,         0,         0,         4,         4,         4,         4,         4,         4, 21.549999,25.694336,102421.609375,-90.902451
     0/0/0,     0:0:0,  4.028750,    0,       0.000000,       0.000000,       894,       227,        24,         3,         0,         0,         4,         6,         6,         4,         6,         6, 21.600000,28.275391,102422.898438,-91.009125
     0/0/0,     0:0:0,  4.022500,    0,       0.000000,       0.000000,       567,       163,        21,         3,         0,         0,         3,         4,         4,         3,         4,         4, 21.629999,29.095703,102423.531250,-91.061958
     0/0/0,     0:0:0,  4.023750,    0,       0.000000,       0.000000,       438,       136,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2, 21.650000,26.748047,102428.265625,-91.452744
     0/0/0,     0:0:0,  4.028750,    0,       0.000000,       0.000000,       315,        95,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1, 21.690001,29.052734,102432.398438,-91.792664
     0/0/0,     0:0:0,  4.027500,    0,       0.000000,       0.000000,       180,        44,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.719999,25.366211,102431.226562,-91.695976
     0/0/0,     0:0:0,  4.028750,    0,       0.000000,       0.000000,       291,        84,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1, 21.750000,24.440430,102428.437500,-91.466698
     0/0/0,     0:0:0,  4.018750,    0,       0.000000,       0.000000,       363,       107,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2, 21.790001,24.285156,102430.734375,-91.689995
     0/0/0,     0:0:0,  4.028750,    0,       0.000000,       0.000000,       285,        84,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1, 21.820000,24.069336,102427.703125,-91.404892
     0/0/0,     0:0:0,  4.028750,    0,       0.000000,       0.000000,       204,        68,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1, 21.850000,23.781250,102429.796875,-91.578346
     0/0/0,     0:0:0,  4.028750,    0,       0.000000,       0.000000,       234,        75,         9,         0,         0,         0,         1,         1,         1,         1,         1,         1, 21.889999,23.674805,102424.140625,-91.111801
     0/0/0,     0:0:0,  4.028750,    0,       0.000000,       0.000000,       297,        82,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1, 21.910000,23.664062,102435.390625,-92.039879
     0/0/0,     0:0:0,  4.020000,    0,       0.000000,       0.000000,       417,        99,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2, 21.930000,23.520508,102429.093750,-91.520523
     0/0/0,     0:0:0,  4.026250,    0,       0.000000,       0.000000,       618,       169,        29,         3,         3,         3,         3,         4,         6,         3,         4,         6, 21.959999,23.570312,102430.781250,-91.660088
     0/0/0,     0:0:0,  4.026250,    0,       0.000000,       0.000000,       477,       146,        22,         0,         0,         0,         3,         3,         3,         3,         3,         3, 21.990000,23.414062,102423.046875,-91.021088
     0/0/0,     0:0:0,  4.028750,    0,       0.000000,       0.000000,       543,       165,        15,         3,         3,         3,         3,         3,         6,         3,         3,         6, 22.010000,23.427734,102423.500000,-91.058968
     0/0/0,     0:0:0,  4.027500,    0,       0.000000,       0.000000,       546,       164,        16,         0,         0,         0,         3,         4,         4,         3,         4,         4, 22.040001,23.344727,102427.015625,-91.349068
     0/0/0,     0:0:0,  4.026250,    0,       0.000000,       0.000000,       528,       155,        16,         0,         0,         0,         3,         3,         3,         3,         3,         3, 22.049999,23.333008,102428.046875,-91.434799
     0/0/0,     0:0:0,  4.018750,    0,       0.000000,       0.000000,       414,       118,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2, 22.080000,23.250000,102421.773438,-90.916412
     0/0/0,     0:0:0,  4.018750,    0,       0.000000,       0.000000,       342,        93,         3,         3,         3,         3,         1,         1,         4,         1,         1,         4, 22.100000,23.250977,102424.437500,-91.136726
     0/0/0,     0:0:0,  4.028750,    0,       0.000000,       0.000000,       450,       125,         3,         3,         3,         3,         1,         1,         4,         1,         1,         4, 22.120001,23.228516,102424.890625,-91.173615
     0/0/0,     0:0:0,  4.028750,    0,       0.000000,       0.000000,       408,       119,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1, 22.139999,23.193359,102428.593750,-91.478661
     0/0/0,     0:0:0,  4.028750,    0,       0.000000,       0.000000,       411,       120,         3,         0,         0,         0,         2,         2,         2,         2,         2,         2, 22.170000,23.182617,102425.593750,-91.332115
     0/0/0,     0:0:0,  4.027500,    0,       0.000000,       0.000000,       450,       129,         3,         0,         0,         0,         2,         2,         2,         2,         2,         2, 22.190001,23.195312,102430.726562,-91.655106
     0/0/0,     0:0:0,  4.026250,    0,       0.000000,       0.000000,       330,        91,         3,         3,         3,         3,         1,         1,         4,         1,         1,         4, 22.219999,23.172852,102426.265625,-91.287254
     0/0/0,     0:0:0,  4.027500,    0,       0.000000,       0.000000,       387,       107,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1, 22.240000,23.065430,102422.429688,-90.970245
     0/0/0,     0:0:0,  4.020000,    0,       0.000000,       0.000000,       357,       104,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1, 22.260000,23.041992,102425.703125,-91.241402
     0/0/0,     0:0:0,  4.025000,    0,       0.000000,       0.000000,       465,       135,         9,         3,         3,         3,         2,         2,         5,         2,         2,         5, 22.280001,23.115234,102423.296875,-91.042023
     0/0/0,     0:0:0,  4.026250,    0,       0.000000,       0.000000,       546,       160,         6,         3,         3,         3,         2,         3,         5,         2,         3,         5, 22.299999,23.117188,102423.312500,-91.044014
     0/0/0,     0:0:0,  4.026250,    0,       0.000000,       0.000000,       384,       119,         3,         0,         0,         0,         2,         2,         2,         2,         2,         2, 22.320000,23.033203,102422.742188,-90.996162
     0/0/0,     0:0:0,  4.028750,    0,       0.000000,       0.000000,       435,       126,         0,         0,         0,         0,         2,         2,         2,         2,         2,         2, 22.340000,23.022461,102426.015625,-91.266327
     0/0/0,     0:0:0,  4.028750,    0,       0.000000,       0.000000,       477,       138,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2, 22.360001,22.938477,102424.625000,-91.034042
     0/0/0,     0:0:0,  4.028750,    0,       0.000000,       0.000000,       492,       149,         3,         0,         0,         0,         2,         2,         2,         2,         2,         2, 22.379999,22.855469,102427.484375,-91.387939
     0/0/0,     0:0:0,  4.020000,    0,       0.000000,       0.000000,       420,       120,         3,         0,         0,         0,         2,         2,         2,         2,         2,         2, 22.400000,22.843750,102425.078125,-91.188568
     0/0/0,     0:0:0,  4.026250,    0,       0.000000,       0.000000,       387,       115,         3,         0,         0,         0,         2,         2,         2,         2,         2,         2, 22.410000,22.772461,102430.796875,-91.661087
 2020/12/3,  14:49:54,  4.017500,    0,       0.000000,       0.000000,       612,       180,        25,         6,         6,         3,         3,         4,         8,         3,         4,         8, 22.610001,29.268555,102421.656250,-90.906441
 2020/12/3,   14:50:4,  4.026250,    0,       0.000000,       0.000000,       456,       131,         0,         0,         0,         0,         2,         2,         2,         2,         2,         2, 22.639999,23.847656,102427.812500,-91.413864
 2020/12/3,  14:50:14,  4.026250,    0,       0.000000,       0.000000,       774,       219,        12,         0,         0,         0,         4,         4,         4,         4,         4,         4, 22.680000,23.305664,102423.984375,-91.098846
 2020/12/3,  14:50:24,  4.026250,    0,       0.000000,       0.000000,       450,       142,        22,         0,         0,         0,         2,         3,         3,         2,         3,         3, 22.719999,23.053711,102424.031250,-91.102829
 2020/12/3,  14:50:34,  4.026250,    0,       0.000000,       0.000000,       516,       165,         6,         0,         0,         0,         2,         3,         3,         2,         3,         3, 22.750000,22.983398,102421.218750,-90.870552
 2020/12/3,  14:50:44,  4.026250,    0,       0.000000,       0.000000,       642,       200,         6,         0,         0,         0,         3,         3,         3,         3,         3,         3, 22.790001,23.033203,102424.500000,-91.141708
 2020/12/3,  14:50:54,  4.011250,    0,       0.000000,       0.000000,       480,       150,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2, 22.820000,22.853516,102425.757812,-91.245392
 2020/12/3,   14:51:4,  4.023750,    0,       0.000000,       0.000000,       531,       156,         3,         0,         0,         0,         3,         3,         3,         3,         3,         3, 22.840000,22.842773,102428.445312,-91.466698
 2020/12/3,  14:51:14,  4.023750,    0,       0.000000,       0.000000,       555,       151,         3,         0,         0,         0,         3,         3,         3,         3,         3,         3, 22.860001,22.577148,102431.718750,-91.736847
 2020/12/3,  14:51:24,  4.023750,    0,       0.000000,       0.000000,       621,       190,         9,         0,         0,         0,         4,         4,         4,         4,         4,         4, 22.889999,22.409180,102429.101562,-91.521523
 2020/12/3,  14:51:34,  4.026250,    0,       0.000000,       0.000000,       492,       153,         3,         0,         0,         0,         3,         3,         3,         3,         3,         3, 22.920000,22.301758,102427.132812,-91.359032
