S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
0.0,9.0,9.0,9.0,117.0,13.0,0.0,21.0,0.0,0.0,9.0,21.0,30.0,21.0,18.5,829.5357142857142,15.0,7.0,23.375,21.0
0.0,9.0,9.9,9.0,118.6,11.7,0.0,18.9,0.0,0.9,9.9,19.8,30.0,19.9,18.4,856.3928571428571,14.85,6.6,23.525,19.9
0.0,9.0,10.8,9.0,120.2,10.4,0.0,16.8,0.0,1.8,10.8,18.6,30.0,18.8,18.3,883.25,14.7,6.2,23.675,18.8
0.0,9.0,11.7,9.0,121.8,9.1,0.0,14.7,0.0,2.7,11.7,17.4,30.0,17.7,18.2,910.1071428571429,14.55,5.8,23.825,17.7
0.0,9.0,12.6,9.0,123.4,7.8,0.0,12.6,0.0,3.6,12.6,16.2,30.0,16.6,18.1,936.9642857142857,14.4,5.4,23.975,16.6
0.0,9.0,13.5,9.0,125.0,6.5,0.0,10.5,0.0,4.5,13.5,15.0,30.0,15.5,18.0,963.8214285714286,14.25,5.0,24.125,15.5
0.0,9.0,14.4,9.0,126.6,5.199999999999999,0.0,8.399999999999999,0.0,5.4,14.4,13.8,30.0,14.399999999999999,17.9,990.6785714285714,14.1,4.6,24.275,14.399999999999999
0.0,9.0,15.3,9.0,128.2,3.9000000000000004,0.0,6.299999999999999,0.0,6.3,15.3,12.6,30.0,13.299999999999999,17.8,1017.5357142857143,13.95,4.199999999999999,24.425,13.299999999999999
0.0,9.0,16.2,9.0,129.8,2.5999999999999996,0.0,4.199999999999999,0.0,7.2,16.2,11.4,30.0,12.2,17.7,1044.392857142857,13.8,3.8,24.575,12.2
0.0,9.0,17.1,9.0,131.4,1.299999999999999,0.0,2.099999999999998,0.0,8.1,17.1,10.200000000000001,30.0,11.1,17.6,1071.25,13.65,3.4,24.725,11.1
0.0,9.0,18.0,9.0,133.0,0.0,0.0,0.0,0.0,9.0,18.0,9.0,30.0,10.0,17.5,1098.107142857143,13.5,3.0,24.875,10.0
0.9,8.1,18.0,9.0,130.5,0.0,0.0,0.0,0.9,9.0,18.9,11.1,27.0,9.0,17.314285714285713,1063.4051020408165,15.0,3.3,24.1875,9.0
1.8,7.2,18.0,9.0,128.0,0.0,0.0,0.0,1.8,9.0,19.8,13.2,24.0,8.0,17.12857142857143,1028.7030612244898,16.5,3.6,23.5,8.0
